Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Rosenberg, Rachelle",,person,artist,"Rosenberg, Rachelle, artist [person] ; Kiernan, Caitlín R., author [person] ; Lieber, Steve, artist [person] ; Edidin, Rachel, editor [person]",016191861,Monograph,Language material ; Still image ; Text,Volume,GBB2A5523,9781616550257,Alabaster : wolves,,,,United States of America,"Milwaukie, Oregon",Dark Horse,2013,First edition,"134 pages, colour illustrations, 27 cm",741.5973,YKL.2021.b.1231,,Fantasy ; Novel,English,
"Rosenberg, Scott Mitchell",,person,,"Rosenberg, Scott Mitchell [person]",015715471,Monograph,Language material ; Text,Volume,GBB0E7859,9780062079077,Cowboys and aliens,,,,England ; United States of America,Enfield ; New York,ItBooks,2011,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"West (U.S.)--Comic books, strips, etc--Fiction ; Human-alien encounters--Comic books, strips, etc--Fiction ; Extraterrestrial beings--Comic books, strips, etc--Fiction ; Indians of North America--Comic books, strips, etc--Fiction ; Cowboys--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Film tie-in
"Rosenstock, Gabriel",,person,translator,"Goscinny, 1926-1977, author [person] ; Uderzo, artist [person] ; Rosenstock, Gabriel, translator [person]",019086805,Monograph,Language material ; Still image ; Text,Volume,GBB8I9767,9781906587888,Asterix agus troid na dtreabh,,,,Wales,Tresaith,Dalen Eireann,2018,,"1 volume, chiefly colour illustrations, 29 cm",741.5,,,Children's fiction ; Fantasy,Irish,Translated from the French
"Rosenthal, Ben",,person,author,"Malyshev, Alex, artist [person] ; Rosenthal, Ben, author [person] ; Keenan, Shaun, editor [person]",019584196,Monograph,Language material ; Still image ; Text,Volume,GBB9H4529,9780648242116,Xtreme Champion Tournament : breakout,,,,Australia,Gisborne,Comics2Movies,2019,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction ; Young adult fiction,English,
"Rosenthal, Ben",,person,author,"Nunez, Eddie, artist [person] ; Gordan, Michael, author [person] ; Kay, Stephen, author [person] ; Rosenthal, Ben, author [person] ; Marshall, Lauren, artist [person] ; Keenan, Shaun, editor [person] ; Lauthier, Mark, artist [person]",019348418,Monograph,Language material ; Still image ; Text,Volume,GBB963607,9780992473198,Xtreme Champion Tournament,,Most wanted,,Australia,Gisborne,Comics2Movies,2018,,"1 volume, chiefly black and white illustrations, 26 cm",741.5,,,Science fiction ; Young adult fiction,English,
"Rosenwong, Anna",,person,translator,"Jones, Bruce, 1944-, author [person] ; Simon, Alonzo, editor [person] ; Maroto, Esteban, artist [person] ; Rosenwong, Anna, translator [person] ; Eisinger, Justin, editor [person]",018732449,Monograph,Language material ; Still image ; Text,Volume,GBB829496,9781684051595,Prison ship,Nave prisión. English,,,United States of America,"San Diego, California",,2018,,"103 pages, black and white illustrations, 28 cm",741.5973,YKL.2019.b.794,,Science fiction,English,Translated from the Spanish
"Rosenwong, Anna",,person,translator,"Rosenwong, Anna, translator [person] ; Lovecraft, H. P. (Howard Phillips), 1890-1937, author [person] ; Maroto, Esteban, author ; illustrator [person]",018646245,Monograph,Language material ; Still image ; Text,Volume,GBB7O2047,9781684051250,"Lovecraft, the myth of Cthulhu",Call of Cthulhu ; Festival -- ; Mitos de Cthulhu de Lovecraft. English ; Myth of Cthulhu ; Nameless city --,,,United States of America,"San Diego, California","Idea & Design Works, LLC",2018,,"1 volume (unpaged), chiefly black and white illustrations, 29 cm",741.5946,YKL.2018.b.6608,"Horror tales, American ; Short stories, American ; Science fiction ; Cthulhu, (Fictitious character) ; Cthulhu, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel,English,
"Rosenzweig, Maurizio",,person,artist,"Rosenzweig, Maurizio, artist [person] ; Van Lente, Fred, author [person]",017436886,Monograph,Language material ; Still image ; Text,Volume,GBB590449,9781616557607,Resurrectionists,,Ressurectionists,volume 1 [Ressurectionists],United States of America,Milwaukie,Dark Horse,2015,,"1 volume, chiefly colour illustrations",741.5,,,Science fiction,English,
"Rosero, Jennyson",,person,,"Shern, Edmund [person] ; Rosero, Jennyson [person] ; Kai [person] ; Ocampo, Chester [person]",014794663,Monograph,Language material ; Text,Volume,GBA8C6780,9780980233568,Ghost of the wasteland,,,,England ; United States of America,"London ; Los Angeles, California",Diamond ; Radical,2009,,"1 volume, chiefly colour illustrations, 28 cm",741.5,,,Science fiction,English,
"Rosete, Marc",,person,artist,"Brescini, Tony, artist [person] ; Shand, Pat, editor [person] ; Sposito, Giorgia, artist [person] ; Rosete, Marc, artist [person] ; Heflin, Erica J., author [person]",017604930,Monograph,Language material ; Still image ; Text,Volume,GBB5G0156,9781942275220,Wonderland. Volume eight,Grimm Fairy Tales presents Wonderland,,,United States of America,"Horsham, Pennsylvania",Zenescope,2016,First edition,"158 pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.3057,"Calie, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,
"Rosete, Marc",,person,artist,"Garcia, Eduardo, 1970 August 31-, artist [person] ; Brusha, Joe [person] ; Paciarotti, Leo [person] ; Cuffari, Salvatore, artist [person] ; Casas, Fritz, artist [person] ; Franchini, Dave, author [person] ; Esposito, Taylor [person] ; Rosete, Marc, artist [person] ; Preitano, Manuel, artist [person]",018249640,Monograph,Language material ; Still image ; Text,Volume,GBB734635,9781942275558,Cinderella : serial killer princess,,,,United States of America,"Horsham, Pennsylvania",Zenescope,2017,"First edition, June 2017","119 pages, chiefly illustrations (black and white and colour), 26 cm",741.5973,YKL.2018.b.4596,"Cinderella, (Legendary character)--Comic books, strips, etc ; Fairy tales--Adaptations--Comic books, strips, etc",Adaptation ; Comic or graphic novel ; Horror,English,'This story takes place after the events of Grimm fairy tales: apocalypse'--Page 1 ; 'This volume reprints Cinderella: serial killer princess issues 1-4 published by Zenescope Entertainment'--Page 1
"Rosete, Marc",,person,artist,"Rosete, Marc, artist [person] ; Brusha, Joe, author [person]",018038325,Monograph,Language material ; Still image ; Text,Volume,GBB6D6706,9781942275480,Death force. The fires of vengeance,Fires of vengeance,,,United States of America,Horsham,Zenescope Entertainment,2017,,"174 pages, chiefly colour illustrations, 26 cm",741.5973,YKL.2018.b.3211,"Philadelphia (Pa.)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Rosete, Marc",,person,artist,"Rosete, Marc, artist [person] ; Shand, Pat, author [person]",018376633,Monograph,Language material ; Still image ; Text,Volume,GBB797174,9781942275541,Van Helsing vs. the Mummy of Amun-Ra,,,,United States of America,"Horsham, Pennsylvania",Zenescope,2017,First edition,"175 pages, illustrations (black and white and colour), 26 cm",741.5973,YKL.2020.b.680,"Van Helsing, Liesel, (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Horror,English,
Rosh,,person,artist,"Barber, Nick, artist [person] ; Rosh, artist [person] ; Diotto, artist [person] ; Lewis, Jason, 1976-, artist [person] ; V, Ram, author [person] ; Nuttall, Kel, artist [person]",018248789,Monograph,Language material ; Still image ; Text,Volume,GBB733784,9781632292476,Brigands,,,,United States of America,"Canonsburg, Pennsylvania",Action Lab Comics,2017,,"approximately 128 unnumbered pages, colour illustrations, 26 cm",741.59548,YKL.2018.b.3802,,Fantasy,English,'Collects issues #1-5 of Brigands'--Back cover ; book actually contains #1-4 of Brigands
Rosh,,person,artist,"Kumar, Sumit, artist [person] ; Rosh, artist [person] ; V, Ram, author [person]",018933145,Monograph,Language material ; Still image ; Text,Volume,GBB8C5085,9781632293954,Ruin of thieves : a Brigands story,Ruin of thieves. #1,The Brigands trilogy,book 2 [The Brigands trilogy],United States of America,"Canonsburg, Pennsylvania",Action Lab Comics,2017,,"1 volume (unpaged), colour illustrations, 26 cm",741.5954,YKL.2019.b.2718,,Comic or graphic novel ; Fantasy,English,'Collects issues #1-4 of Ruin of Thieves'--Cover
"Roshell, John",,person,,"Starkings, Richard [person] ; Ladrönn [person] ; Roshell, John [person]",014642956,Monograph,Language material ; Text,Volume,GBA8D2786,9781582408828,The Elephantmen art of Ladrönn. Vol. 1. Unhuman,Unhuman,,,United States of America,"Berkeley, California",Image Comics,2008,,"128 pages, chiefly illustrations (some colour), 33 cm",741.5941,YK.2008.b.6635,Ladrönn ; Graphic novels,Fantasy,English,
"Roshell, John",,person,artist,"Pedro, Carlos, artist [person] ; Starkings, Richard, author [person] ; Medellin, Axel, 1975-, artist [person] ; Roshell, John, artist [person] ; Cook, Boo, author [person]",018000889,Monograph,Language material ; Still image ; Text,Volume,GBB6C4443,9781632158802,Elephantmen 2260. Book five. Up close and personal,Up close and personal,,,United States of America,"Berkeley, California",Image Comics,2017,,"1 volume (unpaged), colour illustrations, 26 cm",741.5942,YKL.2018.b.4761,,Science fiction,English,'Originally published in single magazine form as Elephantmen #70-71 & 73-76'--Title page verso ; Text and illustrations on inside covers
"Rosiński, Grzegorz",,person,,"Rosiński, Grzegorz [person] ; Hamme, Jean van, 1939- [person]",015805011,Monograph,Language material ; Text,Volume,GBB156925,9781849180573,The sun sword,,Thorgal,volume 10 [Thorgal],England,Canterbury,Cinebook,2011,,"48 pages, chiefly colour illustrations, 26 cm",741.5,,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,
"Rosiński, Grzegorz",,person,,"Rosiński, Grzegorz [person] ; Hamme, Jean van, 1939- [person]",015869800,Monograph,Language material ; Text,Volume,GBB197409,9781849181037,The invisible fortress,Forteresse invisible. English,Thorgal,11 [Thorgal],England,Canterbury,Cinebook,2011,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2012.b.1255,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Novel ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Morris, Lisa, 1969-, editor [person] ; Graza [person] ; Saincantin, Jerome, translator [person] ; Rosiński, Grzegorz, artist [person]",018272158,Monograph,Language material ; Still image ; Text,Volume,GBB752130,9781849183451,The kingdom beneath the sand,Thorgal 26 - Le royaume sous le sable. English,Thorgal,18 [Thorgal],England,"Canterbury, Kent",Cinebook,2017,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YKL.2018.b.3828,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Graza, illustrator [person] ; Saincantin, Jerome, translator [person]",016112083,Monograph,Language material ; Still image ; Text,Volume,GBB262723,9781849181365,The brand of the exiles,Marque des bannia. English,Thorgal,12 [Thorgal],England,"Canterbury, Kent",Cinebook,2012,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2013.b.13380,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person]",016163717,Monograph,Language material ; Still image ; Text,Volume,GBB289263,9781849181426,Ogotai's crown,Couronne d'Ogotaï. English,Thorgal,13 [Thorgal],England,Canterbury,Cinebook,2012,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2013.b.10271,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Novel ; Young adult fiction,English,"'Original edition: © Rosinki & Van Hamme, 1995, Editions du Lombard (Dargaud-Lombard SA) '--Title page verso ; Translated from the French"
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person]",016257523,Monograph,Language material ; Still image ; Text,Volume,GBB306578,9781849181563,Giants,Géants. English,Thorgal,14 [Thorgal],England,Canterbury,Cinebook,2013,,"48 pages, chiefly colour illustrations, 26 cm",741.59493,YK.2013.b.11470,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Novel ; Young adult fiction,English,"'Original edition: © Rosinki & Van Hamme, 1996, Editions du Lombard (Dargaud-Lombard SA) '--Title page verso ; Translated from the French"
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person]",017038901,Monograph,Language material ; Still image ; Text,Volume,GBB514929,9781849182478,Arachnea,Arachnéa. English,Thorgal,16 [Thorgal],England,"Canterbury, Kent",Cinebook,2015,,"48 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2017.b.857,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person]",019049437,Monograph,Language material ; Still image ; Text,Volume,GBB8G8670,9781849184229,Kriss of Valnor,Kriss de Valnor. English,Thorgal,20 [Thorgal],England,Canterbury,Cinebook,2018,,"48 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2019.b.5206,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person]",019282855,Monograph,Language material ; Still image ; Text,Volume,GBB943356,9781849184267,The sacrifice,Sacrifice. English,Thorgal,21 [Thorgal],England,"Canterbury, Kent",Cinebook,2019,,"48 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2020.b.921,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person] ; Spear, Luke [person]",017704892,Monograph,Language material ; Still image ; Text,Volume,GBB607431,9781849182904,The blue plague,Mal bleu. English,Thorgal,17 [Thorgal],England,"Canterbury, Kent",Cinebook,2016,,"48 pages, colour illustrations, 26 cm",741.59493,YKL.2017.b.4021,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Rosiński, Grzegorz, artist [person]",019532404,Monograph,Language material ; Still image ; Text,Volume,GBB9F2337,9781849184434,The betrayed sorceress : the island of the frozen seas,,Thorgal,volume 0 [Thorgal],England,Canterbury,Cinebook,2019,,"96 pages, chiefly colour illustrations, 26 cm",741.5,,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,Translated from the Dutch
"Rosiński, Grzegorz",,person,artist,"Hamme, Jean van, 1939-, author [person] ; Spear, Luke, translator [person] ; Rosiński, Grzegorz, artist [person] ; Hamme, Jean van, 1939- [person]",013608494,Monograph,Language material ; Still image ; Text,Volume,,9781905460236,Thorgal. 1. Child of the stars,Thorgal ; Thorgal. 7. L'enfant des étoiles. English,,,England,Ashford,Cinebook,2007,,"96 pages, chiefly colour illustrations, 26 cm",741.59493,YKL.2018.b.5462,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction ; Scandinavia--History--To 1397--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Science fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Rosiński, Grzegorz, artist [person] ; Graza [person] ; Saincantin, Jerome, translator [person] ; Dufaux, author [person]",017767284,Monograph,Language material ; Still image ; Text,Volume,GBB635613,9781849183000,Kyle of Klanach,Kyle of Klanach. English,Lament of the lost moors,4 [Lament of the lost moors],England,"Canterbury, Kent",Cinebook,2016,,"56 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2017.b.4402,,Fantasy ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person] ; Dufaux, author [person]",016317562,Monograph,Language material ; Still image ; Text,Volume,GBB337656,9781849181693,Siobhan,Sioban. English,Lament of the lost moors,1 [Lament of the lost moors],England,"Canterbury, Kent",Cinebook,2013,,"58 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2016.b.4115,,Fantasy ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Rosiński, Grzegorz, artist [person] ; Saincantin, Jerome, translator [person] ; Dufaux, author [person]",017533670,Monograph,Language material ; Still image ; Text,Volume,GBB5C1468,9781849182706,Lady Gerfaut,Dame Gerfaut. English,Lament of the lost moors,3 [Lament of the lost moors],England,"Canterbury, Kent",Cinebook,2015,,"54 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2017.b.2227,,Fantasy ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,artist,"Rosiński, Grzegorz, artist [person] ; Spear, Luke, translator [person] ; Hamme, Jean van, 1939-, author [person]",018667793,Monograph,Language material ; Still image ; Text,Volume,GBB803024,9781849183994,Thorgal. 19. The Barbarian,Barbarian ; Thorgal. 27. Barbare. English,,,England,Canterbury,Cinebook,2017,,"48 pages, chiefly illustrations, 26 cm",741.59493,YKL.2018.b.5463,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,illustrator,"Hamme, Jean van, 1939- [person] ; Saincantin, Jerome, translator [person] ; Sente, Yves, 1964-, author [person] ; Rosiński, Grzegorz, illustrator [person]",020041882,Monograph,Language material ; Still image ; Text,Volume,GBC0J7868,9781849184441,"I, Jolan","Moi, Jolan. English",Thorgal,22 [Thorgal],England,Canterbury,Cinebook,2021,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,illustrator,"Hamme, Jean van, 1939-, author [person] ; Saincantin, Jerome, translator [person] ; Rosiński, Grzegorz, illustrator [person]",016548420,Monograph,Language material ; Still image ; Text,Volume,GBB3A6808,9781849181860,The cage,Cage. English,Thorgal,15 [Thorgal],England,"Canterbury, Kent",Cinebook,2014,,"48 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2014.b.2038,"Vikings--Comic books, strips, etc--Fiction ; Thorgal, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction ; Young adult fiction,English,Translated from the French
"Rosiński, Grzegorz",,person,illustrator,"Saincantin, Jerome, translator [person] ; Dufaux, author [person] ; Rosiński, Grzegorz, illustrator [person]",016548421,Monograph,Language material ; Still image ; Text,Volume,GBB3A6809,9781849181877,Blackmore,Blackmore. English,Lament of the lost moors,2 [Lament of the lost moors],England,"Canterbury, Kent",Cinebook,2014,,"64 pages, chiefly colour illustrations, 26 cm",741.5,YKL.2014.b.2037,,Fantasy ; Young adult fiction,English,Translated from the French
"Roslan, Mark",,person,artist,"Hernandez, Vince, author [person] ; Avella, Claudio, artist [person] ; Carrasco, Gabe, artist [person] ; Riggs, Chaz, artist [person] ; Roslan, Mark, artist [person] ; Arciniega, Erick, 1989-, artist [person] ; Reed, Josh, artist [person]",018197727,Monograph,Language material ; Still image ; Text,Volume,GBB714349,9781941511275,Fathom blue. Volume 1,,,,United States of America,"Culver City, California","Aspen, MLT",2016,Regular edition,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2018.b.2195,,Science fiction,English,"'Collects material originally published as Worlds of Aspen 2015 #1, Michael Turner's Fathom blue volume 1 issues 1-6'--Title page verso"
"Roslan, Mark",,person,author,"Bowden, Mike, artist [person] ; Roslan, Mark, author [person]",017969092,Monograph,Language material ; Still image ; Text,Volume,GBB6B0361,9781941511152 ; 9781941511169,BubbleGun. Volume one. Heist jinks,Bubble Gun ; Heist jinks,,,United States of America,"Culver City, California",Aspen MLT,2016,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2017.b.6202,,Science fiction ; Young adult fiction,English,'Collects material originally published as BubbleGun 1-5'--Title page verso
"Roslan, Mark",,person,author,"Kaneshiro, Micah, artist [person] ; Smith, Cory, artist [person] ; Roslan, Mark, author [person]",016863739,Monograph,Language material ; Still image ; Text,Volume,GBB497635,9781941511015,Broken pieces. Volume 1,,,,United States of America,New York,Aspen,2014,,"1 volume, chiefly colour illustrations",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,,"Cho, Frank [person] ; Ross, Alex, 1970- [person] ; Paul, Carlos [person] ; Hester, Phil, 1966- [person]",015308055,Monograph,Language material ; Text,Volume,GBA967664,9781606900659,Masquerade. Volume 1,,,,England ; United States of America,"London ; Runnemede, New Jersey",Diamond ; Dynamite Entertainment,2009,,"110 pages, chiefly colour illustrations, 27 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,,"Herbert, Jackson [person] ; Ross, Alex, 1970- [person] ; Busiek, Kurt [person]",016082647,Monograph,Language material ; Text,Volume,GBB245621,9781606903421,Genesis,,Kirby,,England ; United States of America,"London ; Runnemede, New Jersey",Diamond ; Dynamite Entertainment,2012,,"1 volume, 27 cm",741.5,,,Science fiction ; Young adult fiction,English,
"Ross, Alex",1970-,person,,"Maggin, Elliot S. [person] ; Ross, Alex, 1970- [person] ; Waid, Mark, 1962- [person]",014702823,Monograph,Language material ; Text,Volume,GBA8A3683,9781848560925,Kingdom come,,,,England,London,Titan,2008,"New edition, Mark Waid and Alex Ross","1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,"Previous edition: published as by Elliot S. Maggin. New York: Aspect, 1998"
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Braithwaite, Dougie [person] ; Krueger, Jim [person]",013705030,Monograph,Language material ; Text,Volume,GBA724846,,Justice,,,,United States of America,New York,DC Comics,2006-2007,,"3 volumes, chiefly colour illustrations, 27 cm",741.5973,YK.2009.b.902 ; YK.2009.b.903,"Justice League of America (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel ; Novel ; Science fiction,English,'Originally published in single magazine form'--Indicia
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Braithwaite, Dougie [person] ; Krueger, Jim [person]",015826088,Monograph,Language material ; Text,Volume,GBB172310,9780857687074,Justice,,,,England,London,Titan,2011,,"374 pages, chiefly illustrations (chiefly colour), 26 cm",741.5,,"Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Originally published: 2008
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Braithwaite, Dougie [person] ; Krueger, Jim [person]",016030707,Monograph,Language material ; Text,Volume,GBB215089,9780857684844,Justice,,,,England,London,Titan,2012,,"1 volume, chiefly illustrations (chiefly colour), 26 cm",741.5,,"Justice League of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Originally published: 2008
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Darnall, Steve [person]",012286224,Monograph,Language material ; Text,Volume,GBA0Z0447,9781840230833,U.S : Uncle Sam,Uncle Sam,,,England ; United States of America,London ; New York,DC Comics ; Titan,1999,,"110 pages, colour illustrations, 26 cm",741.5973,YK.2005.b.162,"Uncle Sam (Symbolic character)--Comic books, strips, etc ; Graphic novels",Comic or graphic novel ; Science fiction,English,"'Originally published in single magazine form as Uncle Sam 1-2, 1997' --t.p. verso"
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Darnall, Steve [person]",015170960,Monograph,Language material ; Text,Volume,GBA942914,9781848562844,Uncle Sam,,,,England,London,Titan,2009,New deluxe edition,"1 volume, chiefly colour illustrations, 28 cm",741.5,,"Uncle Sam (Symbolic character)--Comic books, strips, etc--Fiction ; United States--History--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,Previous edition: 1999
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Dini, Paul [person]",011631101,Monograph,Language material ; Text,Volume,GB98V4400,9781563894640,Peace on Earth,,,,England ; United States of America,Maidstone ; New York,Amalgamated Book Services ; DC Comics,1999,,"64 pages, all colour illustrations, 26 cm",741.5973,,"Superman, (Fictitious character)--Comic books, strips, etc",Science fiction,English,
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Johns, Geoff, 1973- [person] ; Eaglesham, Dale [person]",015110160,Monograph,Language material ; Text,Volume,GBA937408,,Justice Society of America. Thy kingdom come,Thy kingdom come,,,England ; United States of America,London ; New York,DC Comics ; Titan,2008-,,"3 volumes, chiefly colour illustrations, 26 cm",741.5973,YK.2009.b.8155 ; YK.2009.b.8286 ; YKL.2019.b.3712,"Justice Society of America (Fictitious characters)--Comic books, strips, etc--Fiction ; Graphic novels",Comic or graphic novel ; Fiction ; Science fiction,English,"'Originally published in single magazine form in Justice Society of America #13-18 and Justice Society of America annual #1'--Pt. 2, indicia ; 'Originally published in single magazine form in Justice Society of America #19-22, Justice Society of America Kingdom Come special: Superman, Justice Society of America Kingdom Come special: Magog and Justice Society of America Kingdom Come special: The Kingdom'--Pt. 3, indicia ; 'Originally published in single magazine form in Justice Society of America #7-12'--Pt. 1, indicia"
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Johns, Geoff, 1973- [person] ; Eaglesham, Dale [person]",015433795,Monograph,Language material ; Text,Volume,GBA9B6563,9781848562172,Thy kingdom come. Part 3,,Justice Society of America,,England,London,Titan,2010,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Justice Society of America (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Lilly, Mike [person] ; Krueger, Jim [person]",015103822,Monograph,Language material ; Text,Volume,GBA933683,9781606900345,Black Terror. Volume 1,,,,England ; United States of America,"London ; Runnemede, New Jersey",Diamond ; Dynamite Entertainment,2009,,"128 pages, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,
