Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Granov, Adi",,person,artist,"Wada, Kevin, artist [person] ; Granov, Adi, artist [person] ; Immonen, Stuart, author [person]",018731209,Monograph,Language material ; Still image ; Text,Volume,GBB828256,9781302911287,Star wars : a new hope : the 40th anniversary,,,,United States of America,New York,Marvel Worldwide,2018,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Gransaul, Danielle",,person,artist,"Stanley, Zoe, artist [person] ; Mendoza, Dan, author [person] ; Gransaul, Danielle, artist [person]",018608653,Monograph,Language material ; Still image ; Text,Volume,GBB7L6009,9781632293312,Dollface : tales of the ball-jointed witch hunter. Volume three,,,,United States of America,Ashland,Action Lab Entertainment,2018,,"1 volume (unpaged), illustrations (black and white and colour), 26 cm",741.5973,YKL.2019.b.6162,"California--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Horror,English,'Collects issues #9-12 of DollFace'--Cover ; Title from cover
"Grant, Alan",1949-,person,,"Bisley, Simon [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",016136150,Monograph,Language material ; Text,Volume,GBB275404,9781781080788,The Batman/Judge Dredd collection,,,,England ; United States of America,New York,DC Comics,2012,,"304 pages, chiefly colour illustrations, 27 cm",741.5941,YK.2013.b.7143,"Batman, (Fictitious character)--Comic books, strips, etc ; Dredd, Judge (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Science fiction,English,"Originally published as Batman/Judge Dredd: judgment on Gotham, Batman/Judge Dredd: vendetta in Gotham, Batman/Judge Dredd: the ultimate riddle, Lobo/Judge Dredd: Psycho-bikers vs. the mutants from hell and Batman/Judge Dredd: die laughing 1-2"
"Grant, Alan",1949-,person,,"Dixon, Chuck, 1954- [person] ; Grant, Alan, 1949- [person] ; Moench, Doug [person]",012029404,Monograph,Language material ; Text,Volume,GB98Z2038,9781852869434,Four of a kind,,Batman,,England,London,Titan,1998,,"206 pages, all colour illustrations, 26 cm",741.5973,YK.1999.b.5085,"Batman, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,,"Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",010761762,Monograph,Language material ; Text,Volume,GBA2X3969,9781840234794,Strontium dog : portrait of a mutant,2000 AD,,,England,London,Titan,2002,,"approximately 144 pages, chiefly illustrations, 30 cm",741.5,YK.2003.b.4005,"Bounty hunters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Grant, Alan",1949-,person,,"Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",010761845,Monograph,Language material ; Text,Volume,GBA3Y2146,9781840236347,The apocalypse war : featuring Block mania,2000 AD ; Block mania,Judge Dredd,,England,London,Titan,2003,,"approximately 220 pages, illustrations, 30 cm",741.5941,YK.2003.b.7032,"Dredd, Judge (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,"Block mania first published in 2000 AD progs 236-244, 1981. _ The apocalypse war first published in 2000 AD progs 245-270, 1982"
"Grant, Alan",1949-,person,,"Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",013086526,Monograph,Language material ; Text,Volume,GBA505331,9781904265344,Strontium dog : the early cases,,2000 AD,,England,Oxford,Rebellion,2005,,"168 pages, illustrations, 26 cm",741.5942,,,Science fiction,English,
"Grant, Alan",1949-,person,,"Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",013211261,Monograph,Language material ; Text,Volume,GBA547116,9781904265467,Strontium dog : portrait of a mutant,,2000 AD,,England,Oxford,Rebellion,2005,,"160 pages, illustrations, 26 cm",741.5,,,Science fiction,English,"Originally published: London: Titan, 2002"
"Grant, Alan",1949-,person,,"Ezquerra, Carlos [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",013563554,Monograph,Language material ; Text,Volume,GBA682658,,Strontium Dog: search/destroy agency files,2000 AD,,,England,Oxford,Rebellion,2006-,,"volumes, chiefly illustrations, 26 cm",741.5941,YK.2007.b.2853 ; YK.2007.b.5694 ; YK.2008.b.2923 ; YK.2008.b.333,"Bounty hunters--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,'Originally serialised in 2000 AD progs'--Prelim ; Title from cover
"Grant, Alan",1949-,person,,"Gibson, Ian [person] ; Grant, Alan, 1949- [person] ; Wagner, John, 1949- [person]",013086527,Monograph,Language material ; Text,Volume,GBA505332,9781904265351,Day of the droids,,2000 AD ; Robo-hunter,,England,Oxford,Rebellion,2005,,"160 pages, illustrations, 26 cm",741.5,,"Robots--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
